code,families,non_families
01740,192264,75337
01741,276479,88595
01742,233497,92788
01745,143842,59381
01746,180658,61681
01747,132760,58348
01748,213185,77912
01749,123772,58389
01752,118710,66753
01754,143501,68223
01756,178243,73389
01757,111741,51164
01760,178295,69760
01770,237206,120894
01772,227463,70308
01773,256108,84385
01775,185852,71431
01776,244999,86078
01778,260608,92771
01801,120955,71402
01803,150886,68339
01810,217115,83160
01821,123976,81017
01824,157009,74845
01826,114722,60644
01827,170997,73314
01830,95877,46495
01832,89424,60615
01833,151618,79670
01834,124657,69414
01835,100846,59762
01840,53811,32195
01841,54777,34289
01843,66827,43458
01844,106163,52842
01845,177472,62755
01850,64859,41169
01851,78487,52895
01852,86075,47906
01854,72376,42283
01860,133976,51815
01862,122782,54669
01863,136658,57815
01864,171856,73160
01867,163043,59634
01876,133586,65962
01879,143961,71250
01880,140597,64886
01886,174724,67040
01887,150916,68161
01890,257167,93324
01901,45941,27758
01902,71718,37061
01904,105328,63605
01905,81865,47244
01906,112475,58026
01907,183367,79361
01908,163749,72406
01913,116365,62203
01915,143407,62390
01921,225561,141795
01922,157829,52540
01923,126522,52491
01929,148926,101226
01930,114575,53231
01937,114575,53231
01938,147181,60559
01940,188981,81476
01944,209952,68101
01945,208314,73198
01949,163742,81219
01950,170704,85425
01951,152563,69159
01952,106296,73638
01960,108499,51252
01966,130386,57612
01969,185765,66402
01970,96928,63674
01982,163940,60004
01983,163319,70247
01984,206808,78647
01985,186583,67783
02019,141241,79398
02021,166899,71002
02025,262875,60807
02026,154416,78381
02030,371032,150506
02032,184790,78118
02035,138750,91680
02038,166332,72662
02043,249547,57480
02045,132973,79310
02047,132973,79310
02048,154028,66591
02050,134719,64175
02052,224952,73041
02053,170618,73299
02054,143163,64144
02056,183980,81035
02061,203493,59239
02062,136437,62335
02066,187799,67938
02067,215726,77575
02071,134837,77575
02072,110990,56139
02081,163788,73844
02090,235790,96748
02093,170938,72294
02108,341008,123328
02109,317082,163441
02110,396587,171762
02111,146215,91056
02113,151107,112563
02114,256267,100384
02115,108189,59586
02116,298298,141618
02118,180734,106950
02119,63048,35666
02120,57920,46058
02121,53364,41956
02122,79672,68742
02124,80048,59870
02125,86343,70668
02126,77173,44265
02127,127960,116387
02128,75297,63494
02129,189824,113171
02130,144969,83644
02131,107022,71752
02132,147585,66654
02134,95614,67845
02135,106134,79034
02136,89637,53241
02138,211955,91273
02139,154064,100194
02140,161425,97992
02141,125979,87260
02142,217728,147121
02143,127931,98921
02144,154384,110791
02145,96101,84488
02148,89109,60471
02149,78906,55847
02150,72005,49628
02151,81361,51392
02152,127340,51445
02155,131018,90059
02163,73914,64643
02169,101244,64927
02170,114778,70508
02171,124417,81905
02176,162358,73853
02180,139497,64752
02184,137106,68091
02186,188558,82239
02188,118004,62263
02189,105773,59983
02190,126049,68945
02191,105506,67409
02199,230136,104143
02203,230136,104143
02210,256582,190299
02215,141679,63286
02301,78050,42876
02302,89685,47396
02322,103953,55422
02324,118673,73936
02330,104095,49613
02332,187059,84363
02333,109012,54948
02338,109799,69826
02339,168251,72301
02341,125617,49225
02343,104023,51458
02346,110582,69849
02347,132774,90414
02351,114511,60811
02356,166082,78902
02357,166082,78902
02359,135241,71071
02360,124167,67904
02364,127264,53514
02366,127264,53514
02367,126650,61461
02368,103762,56960
02370,112874,58415
02375,134611,71137
02379,118771,57805
02382,110230,56274
02420,257779,75193
02421,246929,92596
02445,226992,108562
02446,197988,94501
02451,133119,85654
02452,131962,76018
02453,115694,76811
02457,115694,76811
02458,217700,83060
02459,284177,99842
02460,206672,75499
02461,219168,90463
02462,222626,47768
02464,159136,74692
02465,234246,97894
02466,178187,74697
02467,228932,107462
02468,314679,90433
02472,140860,91835
02474,166382,81853
02476,181872,76331
02478,198004,80976
02481,350422,134129
02482,283237,94023
02492,259863,80845
02493,319854,86626
02494,224944,78254
02532,104357,65581
02534,98479,109183
02535,202963,89969
02536,104377,58591
02537,147920,83214
02538,87236,34741
02539,144714,81563
02540,146555,50458
02542,65063,58768
02543,250530,125764
02553,250530,74720
02554,166446,88391
02556,154953,90641
02557,113379,63341
02558,61732,44197
02559,109457,49682
02561,160733,60819
02562,128061,78317
02563,133172,61517
02564,110046,61517
02568,114546,43347
02571,78880,49321
02575,132639,65764
02576,131447,48972
02584,131447,48972
02601,78166,40237
02630,201307,52584
02631,116452,67606
02632,107156,69360
02633,186782,67431
02635,129011,50213
02637,212881,50213
02638,109516,67917
02639,91982,45691
02641,223410,20342
02642,112178,51159
02643,112178,51159
02644,120768,57969
02645,123477,53505
02646,107882,56667
02647,107882,56667
02648,110880,51409
02649,103264,60341
02650,100407,66621
02651,100407,66621
02652,89893,43962
02653,119113,61347
02655,160137,84858
02657,107152,60993
02659,155194,57466
02660,105369,42131
02663,84131,42131
02664,90782,58385
02666,78020,40129
02667,100118,54050
02668,131980,92688
02669,131980,92688
02670,146518,56807
02671,104060,36776
02672,148065,36776
02673,88137,51825
02675,118110,68142
02702,115292,65318
02703,109848,53658
02713,179369,53658
02715,121069,50921
02717,114579,48894
02718,111764,85101
02719,99188,53814
02720,70818,45056
02721,60969,29199
02723,60219,42228
02724,62158,34763
02725,93155,53553
02726,102253,59178
02738,162381,80944
02739,161185,79399
02740,70063,39285
02743,94821,51397
02744,55910,43966
02745,80520,44781
02746,49518,33741
02747,110979,61983
02748,144852,63905
02760,133956,53173
02762,132853,59882
02763,149294,60800
02764,108527,54539
02766,138417,62067
02767,136961,55575
02769,139346,75798
02770,133909,64758
02771,121643,66646
02777,104305,61468
02779,120125,82625
02780,85925,47221
02790,106425,70993
02791,97751,70993
02802,88695,43194
02804,96587,77603
02806,191850,68542
02807,83748,67958
02808,95231,46084
02809,110473,52852
02812,129944,52852
02813,116276,65755
02814,103689,70868
02815,103689,70868
02816,106422,46706
02817,119053,73003
02818,178506,72388
02822,135716,52106
02825,121167,55704
02826,146573,48459
02827,105805,62735
02828,121197,65816
02830,111990,44567
02831,130515,86533
02832,117250,76597
02833,86018,24829
