zipcode,population_2,density
11354,53375,9577.8
11355,80918,18200
11356,27295,6663.8
11357,44030,5997.5
11358,38103,7518.7
11359,0,0
11360,20076,5634.3
11361,30006,6761.2
11362,19217,3572.6
11363,7424,3315.5
11364,39015,6003.9
11365,45439,7056.5
11366,13922,3527.8
11367,42362,8553.5
11368,116469,17075
11369,31550,11238.4
11370,29780,7449.6
11371,0,0
11372,67252,35154.7
11373,102104,26077
11374,47019,19230
11375,76091,12136.6
11377,85255,13001.1
11378,39994,6342
11379,39805,6936.6
11385,109111,11653.3
11411,21605,7073.4
11412,41782,9806.9
11413,45661,5844.5
11414,30915,5170.5
11415,20351,14028.4
11416,27098,15861.3
11417,33236,11524.5
11418,38938,9059.1
11419,50107,17173.1
11420,51831,9494.5
11421,42704,12832.4
11422,34063,6266
11423,30983,8499.8
11424,0,0
11426,20959,5895.3
11427,25890,6372.3
11428,21184,9834.4
11429,28643,8374.2
11430,222,12
11432,64858,12375.9
11433,41396,10440.5
11434,66424,7902.5
11435,60842,15550.4
11436,21248,10286.5
11439,2154,5588.7
11451,0,0
11501,21353,4052.1
11507,6826,2494.9
11509,1691,776.8
11510,34713,3228
11514,4725,2014.9
11516,8244,3460.5
11518,10248,2833.4
11520,44788,3417.4
11530,28550,1523.5
11542,29384,1688.2
11545,11841,399.1
11547,488,409.9
11548,2068,827.4
11549,2692,4334.6
11550,60673,5565.8
11552,26207,2895.7
11553,27150,3237.3
11554,38078,2332.6
11556,0,0
11557,8234,1558.9
11558,8758,2277.7
11559,8427,782.5
11560,7025,363.3
11561,39140,3766.8
11563,22152,3679.8
11565,9077,3105.4
11566,34393,2444.1
11568,4428,197.3
11569,1168,1613.1
11570,28462,3062.5
11572,29791,2412.4
11575,18143,3937.2
11576,12828,1075.2
11577,12125,1585.6
11579,5084,1763.4
11580,43414,4312
11581,22919,3249.1
11590,48436,2789.4
11596,10431,3043.2
11598,14058,2803.1
11691,70797,10186.7
11692,24639,9364.8
11693,14147,5524.7
11694,22432,4956.8
11697,3782,713.2
11701,27831,2316.3
11702,14121,473.9
11703,17754,2249.5
11704,40344,1974.1
11705,8241,938.7
11706,66668,1520.4
11709,6780,1763.2
11710,36171,2871.1
11713,9128,631.3
11714,23262,2125.8
11715,4092,930.3
11716,9919,443.3
11717,65992,2371.4
11718,3169,1305.5
11719,3508,253.7
11720,29213,1370.8
11721,6409,986.4
11722,36756,2036.7
11724,2916,291.6
11725,28896,1149
11726,21674,3305.2
11727,29374,1207.3
11729,26306,1639.3
11730,13099,1124.9
11731,31115,1443.7
11732,3705,661.8
11733,17177,564.9
11735,33123,1191.2
11738,19401,1496.5
11739,1685,183.1
11740,10469,1103.5
11741,27172,1397.4
11742,12946,970.7
11743,42406,637.9
11746,67873,1086.7
11747,19232,589.5
11749,3541,625.2
11751,13746,1338.9
11752,9146,874.3
11753,13361,1301.2
11754,17884,937.8
11755,12352,1454.8
11756,43571,3042.6
11757,45091,2556.6
11758,54135,1743.2
11762,22704,2722.3
11763,29808,836.6
11764,13157,553.4
11765,783,133.9
11766,11271,722
11767,14190,1264.6
11768,21139,540.6
11769,8855,784.6
11770,139,88.8
11771,10032,357.3
11772,46181,1105.3
11776,23292,1258.2
11777,9136,803.2
11778,12092,692.6
11779,38713,1198.6
11780,16114,540.9
11782,15388,1069.7
11783,21830,2379.7
11784,25251,1779.3
11786,6670,531.3
11787,34815,902.2
11788,16578,743.9
11789,7610,1736.1
11790,19319,1022.7
11791,26075,804.6
11792,8879,346.6
11793,31350,1228
11794,1279,2161.3
11795,25839,1752.9
11796,3911,1210
11797,9137,692.3
11798,18134,1406.2
11801,41099,2377.3
11803,30067,1884.6
11804,4594,628.8
11901,32534,221.5
11930,780,35.1
11931,0,0
11932,1066,56.9
11933,6781,103.2
11934,7889,550.2
11935,3114,116.5
11937,20819,216.8
11939,1331,229.6
11940,5005,385.7
11941,2426,228.3
11942,5428,246.9
11944,4696,445.6
11946,17027,486.9
11947,0,0
11948,526,72.4
11949,12744,134.3
11950,17264,1802.5
11951,14686,1181.6
11952,4949,205.8
11953,14300,535.3
11954,4272,89
11955,2863,495.3
11956,319,97.1
11957,1037,61.9
11958,802,105.7
11959,542,34.2
11960,990,192.4
11961,12878,330.8
11962,253,16.6
11963,8438,223.4
11964,3101,127.6
11965,560,78.9
11967,27621,807.2
11968,13481,193.4
11970,523,512.7
11971,6769,238.4
11972,570,273.6
11973,35,5.6
11975,391,37.3
11976,2093,62.3
11977,3219,216.3
11978,3636,138
11980,4804,154.1
12007,304,23.5
12008,539,311
12009,8394,61.6
12010,27324,82.2
12015,3580,91.5
12017,400,10.5
12018,7470,62.4
12019,14681,199.2
12020,33896,173.2
12022,931,15.1
12023,2098,13.7
12024,59,8
12025,5221,48.1
12027,4423,228.9
12028,819,13.3
12029,1045,19.4
12031,196,21.5
12032,635,2.6
12033,8079,109.4
12035,417,16.7
12036,226,12.4
12037,4501,48
12040,25,161.6
12041,599,117.9
12042,283,21.9
12043,7872,47.8
12045,571,178.6
12046,536,14
12047,23236,1014.7
12051,6405,138
12052,2149,27.5
12053,4133,28.3
12054,16578,414.2
12056,2277,46.8
12057,2232,22.5
12058,974,18.9
12059,1491,25.3
12060,1826,19.6
12061,10072,193.6
12062,1561,18.1
12063,685,206.7
12064,357,15.3
12065,44139,485.3
12066,1628,19.2
12067,1518,30
12068,2839,37.4
12069,391,405
12070,2220,68.2
12071,204,5.7
12072,3027,22.4
12074,2844,32
12075,2816,30
12076,1208,6.8
12077,6917,264
12078,23048,80.3
12082,2,40.8
12083,3905,34.5
12084,4863,492.8
12085,318,183.4
12086,1712,108.3
12087,1108,21.4
12090,5701,38.1
12092,1415,35.3
12093,1488,8.8
12094,2525,30.7
12095,12472,73.9
12106,2229,60.1
12108,510,2.7
12110,19825,533.6
12115,61,6.6
12116,1570,15.1
12117,2994,26.3
12118,16897,184.7
12120,709,18.5
12121,2262,45.3
12122,3797,14.4
12123,4753,57.8
12124,228,56.5
12125,1280,30.9
12130,560,396.4
12131,140,4.7
12132,203,155.9
12134,4730,9.7
12136,765,14.4
12137,2146,35.6
12138,2923,12.6
12139,261,0.5
12140,1504,81.2
12143,5301,107.3
12144,21623,455.8
12147,418,8.5
12148,4549,112.4
12149,2246,19.5
12150,613,198.9
12151,863,127.9
12153,799,18.1
12154,3157,28.5
12155,1540,11.3
12156,912,24.3
12157,4718,36.3
12158,6421,84.4
12159,8381,214.2
12160,775,19.3
12161,8,31.3
12164,454,1.5
12165,168,38.4
12166,1507,13.3
12167,2441,17.6
12168,1794,22.5
12169,380,12.7
12170,5156,63.1
12172,224,161.7
12173,2202,52.1
12174,608,214.2
12175,717,10.3
12176,393,29.4
12177,511,410.8
12180,53729,369
12182,14643,414
12183,2957,1523.3
12184,7105,69.7
12185,1795,30.4
12186,6307,73.5
12187,536,10.6
12188,11653,346.2
12189,18277,1134.6
12190,655,1.4
12192,2135,51
12193,1912,19.5
12194,163,3.8
12195,190,93.6
12196,3940,169.9
12197,2119,12.6
12198,7109,207.2
12202,8716,1677.1
12203,30470,1127.6
12204,8216,766.6
12205,26255,659.6
12206,15693,2923.2
12207,2157,844.8
12208,22143,1941.6
12209,10055,1753.4
12210,10807,3687.3
12211,14094,670.5
12222,6767,3898
12226,0,0
12302,27701,246.8
12303,29725,737.2
12304,20531,1189.5
12305,6947,1789.8
12306,27352,240.5
12307,7769,4206.7
12308,14122,2387
12309,33172,729.1
12401,35225,230.9
12404,3686,38.5
12405,603,21.5
12406,571,4.5
12407,120,53
12409,955,20.9
12410,365,2.8
12411,353,203.8
12412,575,33.7
12413,3150,73.1
12414,10211,63.4
12416,216,15.7
12417,941,1041.8
12418,264,7.4
12419,648,104.1
12420,350,50.7
12421,240,5.4
12422,360,14
12423,1207,43.6
12424,263,5
12427,876,8.8
12428,6866,48.1
12429,35,19.3
12430,1449,14
12431,1544,34
12432,675,559
12433,486,53.9
12434,723,25.7
12435,210,10.2
12436,224,7.8
12438,29,69
12439,336,12.8
12440,1561,30.1
12441,98,12.7
12442,686,14.1
12443,3919,91.6
12444,432,8.5
12446,5077,29.1
12448,160,7.2
12449,3333,345.8
12450,208,3.8
12451,1379,47.8
12452,16,18.7
12453,232,210.1
12454,432,15.2
12455,1733,9.4
12456,796,568.7
12457,1419,47.9
12458,3762,36.8
12459,112,6.9
12460,262,16.9
12461,1346,28.2
12463,1205,62.4
12464,989,8.4
12465,343,45.6
12466,2077,778.7
12468,1372,9.1
12469,736,8.6
12470,667,21.5
12471,288,364.6
12472,1304,151
12473,657,28.9
12474,943,7.7
12475,463,153.1
12477,18196,105.3
12480,369,4.6
12481,1569,47.5
12482,494,82.2
12483,54,17
12484,3325,54.1
12485,1220,50.7
12486,1784,212.5
12487,3930,92.9
12489,112,12.1
12490,0,0
12491,1858,72.4
12492,197,1.9
12493,83,6.2
12494,774,12.5
12495,98,5
12496,1292,11.5
12498,4657,81.1
12501,2007,23.9
12502,1265,15.3
12503,661,11.5
12504,1299,673.5
12507,299,78.2
12508,19697,527.1
12512,239,347.2
12513,178,23.6
12514,3213,45.5
12515,1735,154.4
12516,1862,35.1
12517,397,32.1
12518,5934,287.9
12520,3111,290.4
12521,1529,18.3
12522,4834,49.8
12523,2028,35.1
12524,15633,360.1
12525,1817,29.7
12526,3310,39.4
12527,12,26.6
12528,13675,117.7
12529,1901,10.8
12530,354,768.4
12531,2295,50.8
12533,26101,206.2
12534,18194,79.3
12538,14311,216.8
12540,9107,99.6
12542,5825,156.3
12543,3146,792.2
12544,59,39.7
12545,4321,29.4
12546,2766,23.5
12547,2786,116.4
12548,1011,100.3
12549,10750,107.1
12550,55564,618.6
12553,26806,428.3
12561,18058,115.7
12563,7316,120.3
12564,7945,74.2
12565,1403,382.6
12566,13028,90.2
12567,2411,20.2
12569,10174,118
12570,6792,132.1
12571,9167,60.9
12572,8762,66.3
12574,525,395.9
12575,1944,46.8
12577,1520,76
12578,2152,57.6
12580,4389,76.4
12581,2048,20.3
12582,6205,169.3
12583,1837,60.8
12585,1000,82.5
12586,12147,197.4
12589,19255,124.9
12590,36849,408.6
12592,1507,39.2
12594,3930,65.8
12601,42737,903
12603,41610,504
12604,1993,4104.3
12701,12559,79.4
12719,1093,24.9
12720,67,2.8
12721,7209,112.8
12722,25,31.3
12723,1596,18.4
12724,65,4.8
12725,191,1
12726,1450,17
12729,1316,23
12732,819,11.9
12733,2771,288.4
12734,1146,31.5
12736,108,13.8
12737,1743,19.1
12738,255,47.8
12740,1810,9.7
12741,189,7.9
12742,87,14.8
12743,384,19.8
12745,15,4.8
12746,785,14.8
12747,2046,46.1
12748,1971,32.3
12749,537,95.7
12750,22,2.7
12751,1397,207.9
12752,315,78.8
12754,7688,104.9
12758,3941,9.9
12759,2398,234.7
12760,479,4.1
12762,484,20.3
12763,565,15.5
12764,1694,10.8
12765,910,31.5
12766,651,26.9
12767,201,38
12768,626,7.3
12769,291,26.6
12770,254,27.9
12771,14840,165.8
12775,2061,58.5
12776,2003,6.7
12777,856,7.4
12778,384,86.1
12779,1380,79.3
12780,2153,33.7
12781,104,13.9
12783,1378,16.8
12784,3,0.9
12785,1219,34.6
12786,482,10.8
12787,89,13.5
12788,2596,45.2
12789,1961,47.6
12790,4542,34.1
12791,741,79
12792,132,11.9
12801,14838,1511.7
12803,8349,531.8
12804,27486,194.1
12808,202,5.5
12809,3679,27.2
12810,586,5.2
12811,175,2.1
12812,328,1.5
12814,1300,11.1
12815,1041,8.8
12816,4636,29.9
12817,2006,15.1
12819,311,5.7
12820,96,289.3
12821,2764,191.1
12822,6036,34.4
12823,462,46.1
12824,949,17.1
12827,3349,10.5
12828,9866,84.5
12831,18314,108.4
12832,6353,31
12833,5141,53.2
12834,6211,28.4
12835,2760,10.5
12836,593,5.3
12837,1083,30.1
12838,735,52.2
12839,13612,169.4
12841,123,2.2
12842,595,1.4
12843,672,8
12844,265,34
12845,4760,40.8
12846,3057,22
12847,376,0.3
12849,320,47.4
12850,2621,24.9
12851,379,1.7
12852,333,0.6
12853,1456,7
12854,82,304.4
12855,236,0.5
12856,281,1.7
12857,750,4.2
12858,112,2.5
12859,2146,41.6
12860,342,11.3
12861,544,6.5
12862,160,5.8
12863,1285,130.4
12864,4,7.3
12865,3522,18.8
12866,38788,232.8
12870,1725,6.8
12871,4025,55.7
12872,95,33.9
12873,832,15.2
12874,138,2.5
12878,749,2.7
12883,4784,21.8
12884,669,582.7
12885,4423,21.3
12886,176,14.2
12887,4733,20.4
12901,32866,179.7
12903,1707,155.5
12910,2062,12.3
12911,0,0
12912,1538,6.2
12913,1192,15.1
12914,979,12.5
12915,79,183.8
12916,2376,22.3
12917,1322,11.3
12918,2828,25.7
12919,2971,30.7
12920,2242,10.9
12921,2592,31.5
12922,46,0.2
12923,466,4.2
12924,61,8.3
12926,2371,19.3
12927,294,1
12928,2019,10.7
12929,4078,1263.5
12930,851,9.2
12932,1126,6.2
12933,40,564.5
12934,992,5.5
12935,1488,5.8
12936,581,5.5
12937,1569,17.6
12939,175,10.6
12941,1516,16.7
12942,605,4.5
12943,339,1.3
12944,4106,17.4
12945,388,4.4
12946,4633,13
12950,670,5
12952,283,3.7
12953,14643,26.6
12955,297,4.9
12956,1210,49.5
12957,1500,16.4
12958,1919,20.9
12959,1507,13.7
12960,943,14.8
12961,127,3.2
12962,4713,47.5
12964,60,0.7
12965,408,16.9
12966,2825,12.9
12967,1251,14.4
12969,288,1
12970,922,3.3
12972,6912,35
12973,75,1
12974,2269,128.8
12975,256,33.3
12976,185,2.6
12977,1741,540.6
12978,253,89.2
12979,2324,215.9
12980,1055,1.7
12981,2324,7.7
12983,7135,23.8
12985,939,7.1
12986,5325,7.2
12987,224,8.4
12989,879,2.4
12992,3800,22.3
12993,1499,9
12996,2042,20.6
12997,1184,7
12998,113,5.9
13020,82,67.7
13021,37756,122.3
13024,1806,16788
13026,1772,26.1
13027,35417,204.2
13028,743,17
13029,7853,171.9
13030,3705,126.8
13031,16151,256.5
13032,12960,60.6
13033,3794,23.9
13034,1924,30.3
13035,8450,43.4
13036,9697,81.2
13037,9702,88.1
13039,17233,282.4
13040,2670,10.3
13041,11916,254.6
13042,1817,20.4
13044,3041,39
13045,28158,100.8
13051,30,31.5
13052,1960,12.7
13053,5033,55.8
13054,1105,18.4
13057,14300,199.3
13060,2723,65.1
13061,785,11.2
13062,187,106.1
13063,1802,19
13065,301,131.7
13066,12757,333
13068,4699,35.9
13069,24243,85.2
13071,811,13
13072,861,7.2
13073,6612,46.4
13074,4302,39.3
13076,2269,58.7
13077,6642,37.4
13078,11008,110.3
13080,3507,48
13081,1271,17.1
13082,3895,61.8
13083,2016,13.1
13084,3580,32.5
13087,166,67.5
13088,22132,1025.6
13090,29237,772.5
13092,2535,19.6
13101,2496,25.1
13102,61,404.7
13103,136,134.9
13104,17022,137.8
13108,6213,80.6
13110,2351,37.6
13111,1771,25
13112,1622,30.8
13113,30,332.3
13114,7246,44.4
13115,232,350.9
13116,3653,1083.6
13117,307,122.5
13118,5956,22.3
13119,0,0
13120,1935,47.2
13121,0,0
13122,1202,24.1
13123,0,0
13124,144,11
13126,35339,135.5
13131,3058,22.5
13132,3427,57.2
13134,141,659.5
13135,6012,72.5
13136,355,7.6
13138,133,1250.6
13140,4217,30.7
13141,686,18.4
13142,6280,33.6
13143,2593,22.3
13144,1446,15
13145,1426,35.4
13146,2425,17.8
13147,922,10.1
13148,10581,65.6
13152,7856,47.9
13153,344,230.8
13154,32,39.5
13155,566,9
13156,1963,25.8
13157,439,405.1
13158,1349,8.8
13159,5419,27.1
13160,2382,40.6
13162,376,82
13163,370,391.8
13164,2418,83.8
13165,9783,55.4
13166,5482,51.8
13167,2985,31.4
13202,7391,2839.7
13203,17111,3886.3
13204,20094,1822.8
13205,17747,1891.1
13206,17132,1627.7
13207,12888,1542.9
13208,23177,2187.8
13209,13016,384.3
13210,19606,2010
13211,6274,530.5
13212,20829,724.2
13214,8782,965.9
13215,14497,166.9
13219,15725,1209.3
13224,8672,1167.2
13244,8165,4359.4
13290,0,0
13301,181,60.3
13302,1416,12.1
13303,1407,15.7
13304,1806,39.6
13305,184,61.6
13308,4738,48.3
13309,5655,15
13310,698,32
13312,318,1.8
13313,566,66.1
13314,72,12.4
13315,1415,11.2
13316,6075,13.8
13317,4025,33.3
13318,1108,17.4
13319,652,255.8
13320,2065,10.1
13321,712,474.3
13322,1151,33.4
13323,11638,115.6
13324,2104,6
13325,1078,4
13326,5048,21.2
13327,2106,5.8
13328,1592,39
13329,3930,27.4
13331,73,0.2
13332,2681,18.5
13333,72,17.1
13334,945,12.5
13335,1258,13.6
13337,643,14.8
13338,1305,2.2
13339,6281,23
13340,7651,49
13342,271,17.8
13343,1561,10.4
13345,141,10.1
13346,6273,68.4
13348,1509,16.3
13350,9748,118.9
13352,22,30.6
13353,25,0.1
13354,3412,24.7
13355,1095,13
13357,10354,135.3
13360,158,1
13361,704,9.5
13363,2329,38.3
13364,241,31.5
13365,8204,25.6
13367,8889,7.4
13368,1196,19.2
13402,1181,19
13403,7110,98.6
13404,117,27.3
13406,418,34.9
13407,5163,35.3
13408,3423,38.9
13409,2106,22.6
13410,521,407.5
13411,2827,15.4
13413,16169,323.7
13415,64,12
13416,2299,17.7
13417,3293,895.9
13418,196,14.1
13420,1083,2.8
13421,12899,124.2
13424,2383,76.6
13425,2035,30.5
13428,1369,31.7
13431,1769,18.9
13433,1557,10.5
13435,354,317.7
13436,63,0.8
13437,297,1.2
13438,2951,11.9
13439,3777,16.6
13440,41215,136.5
13441,160,18.2
13450,286,32.6
13452,4881,24.9
13454,820,24.7
13455,55,124.9
13456,3904,59
13457,36,11.3
13459,2022,15.5
13460,4256,24.7
13461,3194,500.9
13464,1324,12.8
13468,358,22.8
13469,1234,153.9
13470,712,3.1
13471,2607,12.7
13472,169,4.7
13473,1183,11.2
13475,42,7.3
13476,3271,55
13477,1218,26.1
13478,3220,35.6
13480,3169,22.3
13482,56,5
13483,525,22.5
13484,0,0
13485,1488,13.4
13486,668,9.7
13488,106,8.4
13489,495,6.1
13490,1049,41.1
13491,3584,18.4
13492,11155,281.5
13493,2278,12.5
13494,226,5.2
13495,2123,946.8
13501,40307,1759.9
13502,33986,255.2
13601,38695,106.1
13602,3765,126.7
13603,12753,889.3
13605,5161,25.5
13606,2618,28.9
13607,1594,37.7
13608,1726,16.3
13611,348,74.6
13612,2510,51.2
13613,2595,12.3
13614,336,14.8
13615,693,419.1
13616,2265,157.3
13617,11912,34.7
13618,1467,11.7
13619,10650,36.5
13620,2154,22.3
13621,501,6.8
13622,1895,13.8
13623,45,39
13624,5330,32.5
13625,1669,11.8
13626,2320,10.2
13628,224,433.6
13630,1470,12.4
13632,148,34.2
13633,262,5.5
13634,3913,31.2
13635,1082,8.9
13636,177,20.2
13637,4342,47.7
13638,415,198.6
13639,53,6.1
13640,233,7.3
13641,50,47.2
13642,9566,19.5
13643,55,490.1
13645,0,0
13646,2145,7.9
13647,160,43.1
13648,2031,4.5
13649,9,1.4
13650,1479,13.9
13651,150,27.2
13652,1778,9.3
13654,2646,15.5
13655,3512,69.5
13656,3307,14.7
13658,2696,13.1
13659,360,2.5
13660,1835,12
13661,1809,15.4
13662,16383,70.9
13664,438,173.4
13665,835,9
13666,227,2.2
13667,3101,25.5
13668,3267,34.3
13669,15210,57.9
13670,420,2
13672,479,1.3
13673,2255,21.3
13674,51,375.9
13675,41,10.6
13676,14038,33.9
13678,97,17
13679,1245,7.9
13680,1324,13.3
13681,1111,12.6
13682,792,8.9
13683,0,0
13684,1034,2.5
13685,2165,58.4
13687,540,2.8
13690,726,5.2
13691,3103,16.9
13692,212,279.4
13693,337,6.3
13694,1357,28.9
13695,189,3.5
13696,213,29.1
13697,1727,10.3
13699,2043,2798.3
13730,2872,21.6
13731,977,4.2
13732,7591,89
13733,4973,21.8
13734,2317,22.4
13736,1966,12.4
13738,44,90.8
13739,721,7.1
13740,495,5.3
13743,3645,23.3
13744,1393,53
13746,1919,22.1
13747,22,64.4
13748,3511,100.4
13750,807,13.1
13751,101,11.9
13752,953,6.8
13753,5848,23.1
13754,2777,13.8
13755,876,6.5
13756,431,3.7
13757,1526,16.5
13760,43779,342.9
13774,280,17.9
13775,1731,13.7
13776,457,28
13777,398,20.2
13778,5492,22.2
13780,889,15.1
13782,716,7.7
13783,2513,8.6
13784,240,90
13786,382,19
13787,3294,20.9
13788,1002,11.2
13790,18663,265
13795,3106,50.2
13796,1023,16.2
13797,2058,23.6
13801,1362,8.2
13802,1038,37.4
13803,4379,18.1
13804,237,8.7
13806,197,19.3
13807,1155,20.8
13808,1316,13.8
13809,1903,21.8
13810,1377,14
13811,3955,24.5
13812,2329,28.7
13813,1038,13.9
13814,10,138.1
13815,13074,46.6
13820,21242,76.4
13825,2754,18.8
13826,238,53.8
13827,11462,48.8
13830,5005,17.7
13832,401,7.6
13833,4334,45.4
13834,232,34
13835,1249,11
13838,3933,176.1
13839,1342,10.2
13841,559,23.5
13842,641,18
13843,2067,15.3
13844,637,8.7
13846,481,27.1
13847,16,156.7
13849,4603,24.7
13850,22847,172.8
13856,5993,12.9
13859,115,89.9
13860,140,15.7
13861,492,50.2
13862,3805,28.6
13863,495,15.5
13864,1089,16.3
13865,5792,20.8
13901,19983,335.5
13902,6349,3442.6
13903,19225,188.1
13904,9448,153.6
13905,27362,374
14001,9722,58.2
14004,11946,94.9
14005,2154,26
14006,9345,128.3
14008,1680,26.1
14009,5668,29.9
14011,7844,44.5
14012,2756,31.7
14013,1702,19
14020,22286,129.8
14024,1592,9.8
14025,3901,71.7
14026,498,221
14027,70,27
14028,1380,38.4
14029,84,18.2
14030,1868,34.1
14031,9626,192
14032,10734,173.3
14033,1539,34.2
14034,2768,44.3
14035,90,50.5
14036,5441,39.2
14037,1022,22.2
14039,66,12.7
14040,1800,23.1
14041,174,52.8
14042,4424,36.6
14043,25644,1089.7
14047,6260,183.9
14048,14928,250.9
14051,19498,485.8
14052,18053,113.8
14054,1383,18.9
14055,1319,16.2
14056,216,310.2
14057,7873,65.8
14058,2214,20.9
14059,9553,136.9
14060,358,7.1
14061,69,255.5
14062,3460,18.9
14063,13453,102.1
14065,1674,17.7
14066,1186,12.3
14067,4387,34.3
14068,7528,787.5
14069,604,30.8
14070,6090,46.3
14072,21340,292.6
14075,44452,435.2
14080,4107,30.2
14081,2961,35.7
14082,657,23.9
14083,14,8.7
14085,7607,380.5
14086,34961,404.8
14091,1526,26.4
14092,10744,195.6
14094,50403,160
14098,3092,25.7
14101,1807,15.3
14102,1421,163.1
14103,10641,52.1
14105,4740,35.4
14108,5665,88.1
14109,1109,1854.4
14111,3191,34.6
14112,75,817
14113,694,12.4
14120,44079,521.8
14125,3593,35.4
14126,614,357.2
14127,30416,288.4
14129,1235,15.5
14130,117,148.6
14131,4988,46
14132,6930,93.3
14134,73,40.2
14135,122,61.9
14136,4916,78.1
14138,1932,16
14139,1839,28.6
14141,7705,41.2
14143,1056,26.4
14145,1268,18.6
14150,41956,1089.7
14166,247,965.7
14167,1815,19.9
14168,113,136.5
14169,80,217.4
14170,2416,69.5
14171,1840,14.3
14172,2836,41.6
14173,205,137.2
14174,5798,96.3
14201,12403,4347.8
14202,3909,1733.9
14203,2046,282.1
14204,8043,1733.9
14206,21479,1673
14207,25661,2536.8
14208,11029,3667.9
14209,9009,3653.8
14210,15342,1882.9
14211,23458,2300
14212,12127,2220.9
14213,24047,4846
14214,21505,2494.4
14215,42600,3452.9
14216,24445,3419.2
14217,22839,2753
14218,20620,982.6
14219,11009,612
14220,24667,2484.4
14221,54836,905.2
14222,16081,4973.6
14223,22264,2486.1
14224,40968,781.3
14225,34471,1159
14226,29818,1670.8
14227,20990,989.6
14228,24435,592.4
14260,814,1270.1
14261,4748,1661.3
14301,12033,2246.9
14302,229,6362.5
14303,6466,920.1
14304,28625,513
14305,16873,831.4
14411,13194,45.2
14413,80,25.9
14414,6774,66.6
14415,142,33.1
14416,3975,38.1
14418,1118,11.5
14420,19951,130.6
14422,1921,22.4
14423,4742,37.9
14424,28458,84.9
14425,12919,255
14427,1766,20.3
14428,7195,59.9
14432,5156,50.6
14433,3948,22.8
14435,2220,23.5
14437,9014,29.5
14441,302,296.8
14445,7654,1514.7
14450,43264,521.4
14453,0,0
14454,11349,92
14456,19210,95.9
14462,845,27.2
14463,287,137.2
14464,7087,91.1
14466,1476,32.5
14467,10589,397.8
14468,18154,133.1
14469,5915,34.6
14470,7554,44.8
14471,2778,41.1
14472,9407,82.4
14475,320,71.4
14476,2403,38.7
14477,1682,23.9
14478,1527,43.5
14479,136,31.3
14480,730,220.5
14481,1774,30.6
14482,8397,53.2
14485,4017,46
14486,342,22.5
14487,5934,69.6
14489,7414,41.1
14502,10115,109.1
14504,1507,492.3
14505,4989,48.7
14506,775,96.5
14507,1010,12.4
14510,4860,25
14511,454,63
14512,4668,17.4
14513,13986,119.4
14514,6027,412.5
14515,155,3399.9
14516,2277,30.3
14517,2684,28
14519,12502,114.9
14521,3245,32.6
14522,9636,81.7
14525,2493,20.4
14526,19931,469.9
14527,12878,36.9
14529,38,13.7
14530,6463,49.4
14532,4124,38.6
14533,1915,25.5
14534,33041,394.4
14536,622,13.1
14537,79,43.9
14539,65,100
14541,4211,33.9
14542,0,0
14543,3242,49.8
14544,2062,26.4
14545,113,94.9
14546,4949,52.9
14548,4285,57.7
14549,343,683
14550,1446,25.8
14551,5586,49.4
14555,1084,144.8
14556,1733,287.9
14557,145,75.2
14559,18939,167.2
14560,2222,22
14561,2643,20.4
14564,16144,147.5
14568,6423,101.4
14569,6251,32.3
14571,1143,25.9
14572,4686,24.2
14580,54214,490.8
14585,148,521.1
14586,12795,447.9
14588,0,0
14589,7558,66.4
14590,5055,30.3
14591,1538,17
14592,142,97.4
14604,2436,2754
14605,11295,2443.7
14606,27730,1136.2
14607,17780,4003.9
14608,11987,2633.2
14609,40959,2138
14610,13779,1265.7
14611,18234,2402.6
14612,34619,776.3
14613,15697,3197.7
14614,1155,2014.7
14615,18115,1175.7
14616,27230,1790.6
14617,22466,1095.7
14618,24079,969.2
14619,14447,3888.1
14620,23711,2063.9
14621,33058,3144
14622,13141,1143.5
14623,25995,514
14624,38993,550.4
14625,9955,503.7
14626,29738,858.5
14627,2938,5600.9
14642,0,0
14701,39250,163.7
14706,5905,28.1
14707,76,33.5
14708,180,7.7
14709,1325,9.9
14710,3392,24.6
14711,1985,18.6
14712,2817,42.2
14714,532,17.4
14715,2485,21
14716,2554,83.3
14717,503,5.6
14718,2053,22.6
14719,3251,12.4
14720,885,1196.8
14721,152,17.4
14722,195,208.5
14723,1149,9.8
14724,2695,14.2
14726,2371,21.8
14727,5051,18.3
14728,994,13.5
14729,902,11.7
14731,1277,10.8
14732,44,220.8
14733,3446,49.8
14735,2803,13.8
14736,167,14.2
14737,4238,15.4
14738,3432,20.4
14739,2608,12.4
14740,1098,16.6
14741,1843,11.4
14742,175,536.4
14743,2078,17.8
14744,2182,42.4
14747,2097,18.2
14748,541,12.4
14750,4546,155.9
14752,286,442.5
14753,1125,12.1
14754,526,10.3
14755,2981,15.6
14756,0,0
14757,3373,29.8
14760,17618,104.5
14767,2265,15.8
14769,787,33.8
14770,2847,37.7
14772,3836,19.3
14774,266,399.2
14775,2524,18.1
14777,582,29.5
14778,1421,1193.8
14779,7014,19.5
14781,1834,9.8
14782,2224,15.8
14783,182,4.9
14784,772,10.8
14785,28,55.8
14787,4717,42.7
14788,102,121.4
14801,5008,18.4
14802,4431,1504
14803,1297,17.8
14804,1535,10.9
14805,810,10.6
14806,1988,12.6
14807,2938,15.5
14808,530,75.7
14809,2905,19.7
14810,11504,36.8
14812,3211,16.2
14813,2199,14
14814,2222,103.7
14815,722,15.4
