zipcode,population_2,density
1602,26711,1769.3
1603,20184,1720.4
1604,40961,2384.1
1605,30353,2072.7
1606,22883,1475.4
1607,8836,1127.3
1608,4782,3834.5
1609,23509,2431
1610,26057,4718
1611,2209,249.6
1612,5005,126.6
1701,33319,761.7
1702,38842,1826.5
1718,767,2148.3
1719,5471,205.4
1720,23107,454.7
1721,18646,583.5
1730,14233,441.6
1731,1917,316.7
1740,5606,108.5
1741,5215,131.8
1742,18393,294.4
1745,538,532.7
1746,14386,297.8
1747,6012,448.5
1748,18501,272.4
1749,20032,671
1752,41505,768.2
1754,10702,795.1
1756,6212,135
1757,30294,772.8
1760,36354,949.6
1770,4406,107.8
1772,9842,279.1
1773,5155,143.6
1775,7130,158.8
1776,18912,299.2
1778,14060,361.2
1801,40967,1245
1803,26234,898.7
1810,35600,450.3
1821,31499,733
1824,26574,568.1
1826,32313,600.3
1827,3369,79
1830,27403,762.9
1832,25526,867.8
1833,8384,252.4
1834,6739,293
1835,14164,700.1
1840,6814,5153.7
1841,53180,6746.6
1843,27804,3181.4
1844,52502,917.3
1845,31394,459
1850,16438,4663.7
1851,32469,3882.8
1852,36740,2852.6
1854,29157,2842.6
1860,6698,304.3
1862,10719,454.5
1863,9697,840.4
1864,15549,456.3
1867,25511,988.5
1876,30930,573.3
1879,12454,286.9
1880,27179,1420.9
1886,24535,313.2
1887,23311,530.3
1890,22875,1464.3
1901,2291,3261
1902,51008,8310.6
1904,19912,1810.7
1905,26962,3413.1
1906,28521,951.1
1907,15183,1939.2
1908,3354,1203.7
1913,17286,543
1915,41545,1128.9
1921,8265,135.2
1922,3929,167.3
1923,27789,812.5
1929,3650,101.1
1930,29814,439.4
1937,177,935.5
1938,13740,165.2
1940,13023,499
1944,5382,225.1
1945,20397,1777.8
1949,9726,279.3
1950,18282,845.3
1951,2816,76
1952,9152,229.9
1960,54051,1303.1
1965,903,396.5
1966,7014,387.6
1969,6135,130.1
1970,44372,2078.5
1982,7641,207.7
1983,6530,211.9
1984,5006,252.4
1985,4500,129.2
2019,16934,356.4
2021,24122,496.8
2025,8295,327.7
2026,25308,951.4
2030,5894,150.7
2032,4878,805.5
2035,18431,358.4
2038,33057,479.1
2043,24061,418.9
2045,10120,1461.4
2047,187,125.2
2048,23768,456.5
2050,25841,346.9
2052,12775,342.3
2053,13610,455.5
2054,8481,272.1
2056,11531,298.8
2061,11258,207.7
2062,31256,1144
2066,18781,439.6
2067,18477,314.5
2071,1248,500.9
2072,29028,696.7
2081,20287,441.9
2090,16066,569.6
2093,12077,214.8
2108,4225,5956.4
2109,3627,8258.2
2110,2307,4979.4
2111,7841,15445.6
2113,6726,26683.6
2114,13401,11669
2115,28559,15515.2
2116,22587,13429.2
2118,27718,9839.3
2119,28307,6766.7
2120,15082,9407.1
2121,29888,6119.8
2122,23747,5401.8
2124,56070,7294.5
2125,32614,5808.5
2126,25572,5400.3
2127,35266,6617.3
2128,45501,3496.3
2129,20411,5821.8
2130,41112,4483.5
2131,32609,4516.5
2132,26437,2098.6
2133,0,0
2134,18437,5767.2
2135,45024,6686.8
2136,40947,3438.1
2138,39370,5551.3
2139,39707,9879.3
2140,20060,6686.3
2141,13953,8849.5
2142,4172,5134.8
2143,25264,6315.3
2144,25367,8970.1
2145,27359,7595.8
2148,65386,5003.1
2149,48584,5486.4
2150,40009,6976.6
2151,60736,4110.3
2152,19088,4447.1
2155,62996,2969.9
2163,2198,4625.7
2169,60459,1929.9
2170,20130,3727.8
2171,19923,3136.3
2176,29401,2423.9
2180,23077,1490.5
2184,38712,1086
2186,28414,801
2188,16169,1616.6
2189,15265,1469.8
2190,17927,989.4
2191,7856,1691.5
2199,1232,8306.3
2203,0,0
2205,0,0
2210,4830,2021.1
2215,25856,11289.2
2301,68571,2127.1
2302,35645,1549.6
2322,4740,426.5
2324,25245,361.2
2325,3082,3904.5
2330,11641,120.5
2332,16004,260.7
2333,14403,323.4
2338,7737,187
2339,14742,366.3
2341,10419,269.9
2343,11309,622.8
2346,24219,135.4
2347,11514,150.2
2350,182,616.9
2351,16974,657.7
2356,11943,338.9
2357,1582,1573.3
2359,18329,324.8
2360,60793,243.5
2364,13618,282
2366,194,1672.9
2367,2934,77.2
2368,34696,1436.8
2370,17774,684.3
2375,11437,320.4
2379,7622,192.1
2382,15116,841.4
2420,15451,847.7
2421,18784,757.9
2445,21485,3177
2446,31764,9549.4
2451,17965,1303.8
2452,16193,1639.6
2453,30441,3272.1
2457,1848,3523.3
2458,12428,2441.2
2459,19081,1463.6
2460,9638,2760.8
2461,6899,1735.1
2462,1381,763.5
2464,3595,2521.1
2465,11574,2077.4
2466,9109,2215.6
2467,23328,1836.1
2468,5305,1333.5
2472,35229,3375
2474,28028,3538.3
2476,18017,3337.3
2478,27016,2245.4
2481,16997,1077.7
2482,10520,1091.6
2492,20927,850
